Day,T,TM,Tm,H,PP,VV,V,VM,RA,SN,TS,FG,month,year,RA_tomor
19,10.9,16.4,7.0,67.0,0.51,10.0,7.6,14.8,0,0,0,0,1,2021,0
11,26.2,30.3,23.8,65.0,6.1,10.0,18.9,31.7,0,0,0,0,9,2021,0
25,28.7,33.4,24.4,70.0,0.0,10.0,13.1,20.6,0,0,0,0,9,2021,0
24,16.8,20.5,14.9,80.0,0.51,10.8,10.9,20.6,0,0,0,0,11,2011,1
16,27.8,36.7,23.0,54.0,0.0,9.8,9.8,29.4,0,0,0,0,9,2017,0
31,15.2,19.3,12.9,74.0,18.29,10.3,19.8,31.3,0,0,0,0,3,2011,0
7,25.8,30.6,22.0,47.0,0.0,10.8,14.1,29.4,0,0,0,0,8,2010,0
7,13.9,18.0,9.9,67.0,9.4,9.7,22.0,35.2,0,0,0,0,12,2021,1
22,16.1,22.4,12.4,72.0,0.0,9.2,13.1,31.7,0,0,0,0,3,2015,0
21,13.1,15.0,10.2,85.0,1.78,7.6,12.6,20.6,1,0,0,0,1,2009,1
17,14.2,18.5,11.0,65.0,0.0,10.0,21.1,33.5,0,0,0,0,3,2018,0
25,19.8,22.1,17.1,85.0,9.91,9.0,17.2,29.4,1,0,0,0,10,2021,1
15,28.6,32.5,25.0,47.0,0.0,10.0,23.7,37.0,0,0,0,0,7,2019,1
4,27.3,33.2,22.0,53.0,0.0,10.0,9.1,20.6,0,0,0,0,7,2016,0
17,27.3,32.9,20.8,65.0,0.0,10.3,9.4,22.2,0,0,0,0,7,2013,0
11,17.1,24.3,10.0,54.0,0.0,10.0,13.7,24.1,0,0,0,0,4,2015,0
8,17.5,22.0,12.9,67.0,0.25,11.3,9.3,16.5,0,0,0,0,11,2012,0
14,19.0,26.6,12.3,48.0,0.0,10.0,7.2,18.3,0,0,0,0,4,2017,0
30,22.7,28.5,18.0,58.0,0.0,9.5,7.4,16.5,1,0,1,0,5,2015,0
12,13.4,15.5,10.9,78.0,4.83,8.0,21.7,42.4,1,0,0,0,11,2019,1
9,26.4,32.0,21.0,61.0,0.0,10.0,11.9,22.2,0,0,0,0,8,2016,0
27,21.3,27.6,18.0,70.0,0.0,9.7,9.8,24.1,1,0,0,0,9,2015,1
3,31.4,40.2,23.8,48.0,0.0,10.1,9.6,24.1,0,0,0,0,8,2012,0
20,23.5,32.1,18.0,58.0,0.0,9.8,14.1,29.4,0,0,0,0,5,2015,1
13,28.3,34.0,23.0,64.0,0.0,9.2,13.5,31.7,0,0,0,0,7,2016,0
27,20.8,27.0,14.6,72.0,0.51,10.5,12.0,20.6,0,0,0,0,10,2011,0
2,20.6,27.3,14.8,67.0,0.0,10.0,8.3,22.2,0,0,0,0,6,2016,0
1,29.1,34.0,23.0,64.0,0.0,10.0,14.6,31.3,0,0,0,0,9,2009,0
3,18.5,23.4,16.0,60.0,0.0,10.0,18.5,25.9,0,0,0,0,4,2018,0
11,19.2,23.0,16.7,69.0,0.0,10.9,13.7,27.8,0,0,0,0,4,2008,1
19,20.7,27.4,15.5,53.0,0.0,10.3,13.1,20.6,0,0,0,0,10,2011,1
29,17.4,25.5,12.0,63.0,0.0,9.7,8.5,20.6,0,0,0,0,3,2016,0
24,19.7,25.9,14.9,50.0,0.0,10.0,13.7,27.8,0,0,0,0,5,2015,0
2,25.4,30.0,22.0,71.0,0.0,10.0,14.6,29.4,0,0,0,0,7,2016,0
25,29.1,36.4,22.8,53.0,0.0,10.5,10.0,22.2,0,0,0,0,7,2013,0
18,27.6,32.0,24.7,56.0,0.0,10.0,20.9,31.7,0,0,0,0,8,2021,0
7,27.7,35.0,22.7,50.0,0.0,11.1,16.1,31.3,0,0,0,0,7,2010,0
